experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,inhibition_value,dilution_factor,inhibited,vol_filtered,filter_size
p_e,52345-049,1,13.4,381661.2,2.51609356046622e-4,zymo,self-preserving,0,0.739,1,1,3,5
p_e,52345-049,3,13.4,400753.8,2.641961130742049e-4,zymo,self-preserving,0,0.142,1,0,3,5
p_e,52345-049,2,13.4,349571.1,2.3045402404936444e-4,zymo,self-preserving,0,0.41,1,0,3,5
p_e,52345-050,1,10.3,343508.4,2.9461422347250337e-4,zymo,self-preserving,0,-0.047,1,0,3,5
p_e,52345-050,3,10.3,297055.5,2.547733198394456e-4,zymo,self-preserving,0,-0.353,1,0,3,5
p_e,52345-050,2,10.3,273470.2,2.3454509588665133e-4,zymo,self-preserving,0,-0.151,1,0,3,5
p_e,52345-051,1,12.8,298914.7,2.0629603301678445e-4,zymo,self-preserving,0,1.543,1,1,3,5
p_e,52345-051,2,12.8,252146.7,1.7401908955388693e-4,zymo,self-preserving,0,1.846,1,1,3,5
p_e,52345-051,3,12.8,237570.5,1.639593225485866e-4,zymo,self-preserving,0,1.35,1,1,3,5
p_e,52345-070,2,8.94,446568.9,4.4127012829938106e-4,zymo,shield,0,0.971,1,1,3,5
p_e,52345-070,1,8.94,410734.1,4.058605267942546e-4,zymo,shield,0,0.697,1,1,3,5
p_e,52345-070,3,8.94,352114.3,3.4793628113611756e-4,zymo,shield,0,0.277,1,0,3,5
p_e,52345-071,1,9.44,410996.8,3.846095106905432e-4,zymo,shield,0,0.88,1,1,3,5
p_e,52345-071,2,9.44,402752.6,3.768946143019704e-4,zymo,shield,0,0.584,1,1,3,5
p_e,52345-071,3,9.44,327245.9,3.062356823081991e-4,zymo,shield,0,1.191,1,1,3,5
p_e,52345-072,2,8.76,467810.8,4.7175847491811473e-4,zymo,shield,0,-0.572,1,0,3,5
p_e,52345-072,1,8.76,396961.3,4.0031110331251917e-4,zymo,shield,0,-0.361,1,0,3,5
p_e,52345-072,3,8.76,381060.6,3.8427622343772694e-4,zymo,shield,0,-0.562,1,0,3,5
p_e,52345-058,1,18.1,579847.8,2.830016789332917e-4,zymo,minus 80,0,-0.134,10,0,3,5
p_e,52345-058,3,18.1,530053.3999999999,2.5869892431134445e-4,zymo,minus 80,0,-0.034,10,0,3,5
p_e,52345-058,2,18.1,512808.7,2.5028244148136573e-4,zymo,minus 80,0,-0.015,10,0,3,5
p_e,52345-059,1,14.3,413010.3,2.5513992191554026e-4,zymo,minus 80,0,-0.073,10,0,3,5
p_e,52345-059,2,14.3,393331.1,2.4298296226741453e-4,zymo,minus 80,0,-0.183,10,0,3,5
p_e,52345-072,1,8.76,389913.9,3.9320423302192746e-4,zymo,shield,0,0.014,10,0,3,5
p_e,52345-072,2,8.76,364197.60000000003,3.6727092308437006e-4,zymo,shield,0,0.035,10,0,3,5
p_e,52345-060,1,13.5,352624.7,2.3074512498364087e-4,zymo,minus 80,0,0.032,10,0,3,5
p_e,52345-070,1,8.94,329380.89999999997,3.254726247223342e-4,zymo,shield,0,0.195,10,0,3,5
p_e,52345-072,3,8.76,328874.7,3.3164994675444117e-4,zymo,shield,0,-0.078,10,0,3,5
p_e,52345-060,3,13.5,323682.2,2.1180617720193695e-4,zymo,minus 80,0,-0.355,10,0,3,5
p_e,52345-071,1,9.44,322896.8,3.0216580822902317e-4,zymo,shield,0,-0.088,10,0,3,5
p_e,52345-070,2,8.94,319758.10000000003,3.159640042371207e-4,zymo,shield,0,-0.011,10,0,3,5
p_e,52345-049,2,13.4,313335,2.0656545013448657e-4,zymo,self-preserving,0,-0.089,10,0,3,5
p_e,52345-071,2,9.44,313166.69999999995,2.930604113014314e-4,zymo,shield,0,0.006,10,0,3,5
p_e,52345-049,1,13.4,312281.1,2.0587066874110013e-4,zymo,self-preserving,0,-0.068,10,0,3,5
p_e,52345-060,2,13.5,296262.7,1.9386382672425075e-4,zymo,minus 80,0,-0.046,10,0,3,5
p_e,52345-049,3,13.4,289641.1,1.9094529560677174e-4,zymo,self-preserving,0,-0.235,10,0,3,5
p_e,52345-070,3,8.94,277189.9,2.739008980166165e-4,zymo,shield,0,-0.086,10,0,3,5
p_e,52345-059,3,14.3,267637.4,1.6533482418641432e-4,zymo,minus 80,0,-0.07,10,0,3,5
p_e,52345-071,3,9.44,260306.5,2.4359400266514946e-4,zymo,shield,0,-0.072,10,0,3,5
p_e,52345-050,1,10.3,249932.59999999998,2.1435778242821362e-4,zymo,self-preserving,0,-0.076,10,0,3,5
p_e,52345-050,2,10.3,240940,2.066451679302892e-4,zymo,self-preserving,0,-0.236,10,0,3,5
p_e,52345-050,3,10.3,227442,1.950684414559676e-4,zymo,self-preserving,0,-0.217,10,0,3,5
p_e,52345-051,1,12.8,219523.80000000002,1.5150438935512367e-4,zymo,self-preserving,0,-0.115,10,0,3,5
p_e,52345-051,2,12.8,186164.5,1.284814625662544e-4,zymo,self-preserving,0,-0.183,10,0,3,5
p_e,52345-051,3,12.8,173195.9,1.1953118098498232e-4,zymo,self-preserving,0,-0.145,10,0,3,5
p_e,52345-064,2,21.1,1218654,5.102130189405991e-4,QBTK,minus 80,0,1.247,1,1,3,5
p_e,52345-064,1,21.1,968123.6,4.053236313700534e-4,QBTK,minus 80,0,1.543,1,1,3,5
p_e,52345-064,3,21.1,872109.6,3.651255170565873e-4,QBTK,minus 80,0,0.914,1,1,3,5
p_e,52345-065,2,22.6,628193.6,2.45549266706276e-4,QBTK,minus 80,0,3.182,1,1,3,5
p_e,52345-065,1,22.6,495248,1.9358328903342818e-4,QBTK,minus 80,0,4.952,1,1,3,5
p_e,52345-065,3,22.6,480846.7,1.8795408705713122e-4,QBTK,minus 80,0,2.22,1,1,3,5
p_e,52345-066,3,20.2,1046429,4.576273484238883e-4,QBTK,minus 80,0,3.964,1,1,3,5
p_e,52345-066,1,20.2,1273938,5.571222404926005e-4,QBTK,minus 80,0,-0.156,1,0,3,5
