sample,reference,bio_rep,tech_rep,dilution,smithroot_v_vaccum,filter_v_liq,preservation,extraction,Ct,quantity,inhibition_value,inhibited,PB_no,total_DNA
52345-128,SR_later_QBTK_1,1,1,1,SR,filter,later,QBTK,23.68,631977.6,2.004,1,PB118,12.2
52345-128,SR_later_QBTK_1,1,3,1,SR,filter,later,QBTK,23.789,586429.3,3.549,1,PB118,12.2
52345-128,SR_later_QBTK_1,1,2,1,SR,filter,later,QBTK,23.812,577611.8,2.736,1,PB118,12.2
52345-129,SR_later_QBTK_2,2,3,1,SR,filter,later,QBTK,23.353,789306.4,0.738,1,PB118,10.8
52345-129,SR_later_QBTK_2,2,2,1,SR,filter,later,QBTK,23.478,724958.3,3.455,1,PB118,10.8
52345-129,SR_later_QBTK_2,2,1,1,SR,filter,later,QBTK,23.549,690943.1,4.303,1,PB118,10.8
52345-130,SR_later_QBTK_3,3,1,1,SR,filter,later,QBTK,23.943,528048.3,-0.831,0,PB118,6.13
52345-130,SR_later_QBTK_3,3,3,1,SR,filter,later,QBTK,24.156,456758,-0.637,0,PB118,6.13
52345-130,SR_later_QBTK_3,3,2,1,SR,filter,later,QBTK,24.21,440305.5,-0.751,0,PB118,6.13
52345-055,SR_self-preserving_QBTK_1,1,1,1,SR,filter,self-preserving,QBTK,22.689,1241340,3.328,1,PB118,19
52345-055,SR_self-preserving_QBTK_1,1,3,1,SR,filter,self-preserving,QBTK,23.308,813775.7,2.484,1,PB118,19
52345-055,SR_self-preserving_QBTK_1,1,2,1,SR,filter,self-preserving,QBTK,23.536,696910.9,6.45,1,PB118,19
52345-056,SR_self-preserving_QBTK_2,2,1,1,SR,filter,self-preserving,QBTK,24.725,310071.5,2.859,1,PB118,13.9
52345-056,SR_self-preserving_QBTK_2,2,2,1,SR,filter,self-preserving,QBTK,24.731,308864.8,3.742,1,PB118,13.9
52345-056,SR_self-preserving_QBTK_2,2,3,1,SR,filter,self-preserving,QBTK,24.735,307999.2,1.439,1,PB118,13.9
52345-057,SR_self-preserving_QBTK_3,3,2,1,SR,filter,self-preserving,QBTK,23.319,808082.8,6.704,1,PB118,16.1
52345-057,SR_self-preserving_QBTK_3,3,1,1,SR,filter,self-preserving,QBTK,23.494,716992,3.246,1,PB118,16.1
52345-057,SR_self-preserving_QBTK_3,3,3,1,SR,filter,self-preserving,QBTK,23.7,623269.2,2.647,1,PB118,16.1
52345-076,SR_shield_QBTK_1,1,1,1,SR,filter,shield,QBTK,22.863,1102519,#VALUE!,#VALUE!,PB118,12.4
52345-076,SR_shield_QBTK_1,1,2,1,SR,filter,shield,QBTK,22.877,1091937,#VALUE!,#VALUE!,PB118,12.4
52345-076,SR_shield_QBTK_1,1,3,1,SR,filter,shield,QBTK,22.962,1030017,#VALUE!,#VALUE!,PB118,12.4
52345-077,SR_shield_QBTK_2,2,3,1,SR,filter,shield,QBTK,22.445,1465144,0.368,0,PB118,10.8
52345-077,SR_shield_QBTK_2,2,1,1,SR,filter,shield,QBTK,22.473,1438104,0.187,0,PB118,10.8
52345-077,SR_shield_QBTK_2,2,2,1,SR,filter,shield,QBTK,22.505,1406968,0.187,0,PB118,10.8
52345-078,SR_shield_QBTK_3,3,3,1,SR,filter,shield,QBTK,24.299,414547.7,-0.384,0,PB118,10.1
52345-078,SR_shield_QBTK_3,3,1,1,SR,filter,shield,QBTK,24.455,372679.7,-0.445,0,PB118,10.1
52345-078,SR_shield_QBTK_3,3,2,1,SR,filter,shield,QBTK,24.556,347975.9,-0.362,0,PB118,10.1
52345-085,vacuum_longmires_QBTK_1,1,3,1,vacuum,filter,longmires,QBTK,39.662,11.809,-0.459,0,PB118,TL
52345-085,vacuum_longmires_QBTK_1,1,1,1,vacuum,filter,longmires,QBTK,40.091,8.817,-0.469,0,PB118,TL
52345-085,vacuum_longmires_QBTK_1,1,2,1,vacuum,filter,longmires,QBTK,40.774,5.539,-0.43,0,PB118,TL
52345-086,vacuum_longmires_QBTK_2,2,1,1,vacuum,filter,longmires,QBTK,NA,,-0.624,0,PB118,TL
52345-086,vacuum_longmires_QBTK_2,2,2,1,vacuum,filter,longmires,QBTK,NA,,-0.604,0,PB118,TL
52345-086,vacuum_longmires_QBTK_2,2,3,1,vacuum,filter,longmires,QBTK,NA,,-0.458,0,PB118,TL
52345-087,vacuum_longmires_QBTK_3,3,1,1,vacuum,filter,longmires,QBTK,NA,,2.364,1,PB118,TL
52345-087,vacuum_longmires_QBTK_3,3,2,1,vacuum,filter,longmires,QBTK,NA,,2.088,1,PB118,TL
52345-087,vacuum_longmires_QBTK_3,3,3,1,vacuum,filter,longmires,QBTK,NA,,1.714,1,PB118,TL
52345-066,SR_-80_QBTK_3,3,2,10,SR,filter,minus 80,QBTK,26.802,51560.76,0.096,0,PB119,20.2
52345-066,SR_-80_QBTK_3,3,3,10,SR,filter,minus 80,QBTK,26.811,51278.82,-0.212,0,PB119,20.2
52345-066,SR_-80_QBTK_3,3,1,10,SR,filter,minus 80,QBTK,26.862,49671.34,-0.246,0,PB119,20.2
52345-065,SR_-80_QBTK_2,2,2,10,SR,filter,minus 80,QBTK,27.007,45428.55,-0.324,0,PB119,22.6
52345-065,SR_-80_QBTK_2,2,1,10,SR,filter,minus 80,QBTK,27.137,41895.92,-0.107,0,PB119,22.6
52345-064,SR_-80_QBTK_1,1,2,10,SR,filter,minus 80,QBTK,27.181,40769.90,-0.186,0,PB119,21.1
52345-065,SR_-80_QBTK_2,2,3,10,SR,filter,minus 80,QBTK,27.23,39559.18,-0.146,0,PB119,22.6
52345-077,SR_shield_QBTK_2,2,2,10,SR,filter,shield,QBTK,27.253,39011.93,-0.375,0,PB119,10.8
52345-077,SR_shield_QBTK_2,2,1,10,SR,filter,shield,QBTK,27.315,37537.66,-0.329,0,PB119,10.8
52345-064,SR_-80_QBTK_1,1,3,10,SR,filter,minus 80,QBTK,27.371,36244.90,-0.283,0,PB119,21.1
52345-077,SR_shield_QBTK_2,2,3,10,SR,filter,shield,QBTK,27.397,35685.53,-0.395,0,PB119,10.8
52345-128,SR_later_QBTK_1,1,3,10,SR,filter,later,QBTK,27.401,35585.04,-0.202,0,PB119,12.2
52345-064,SR_-80_QBTK_1,1,1,10,SR,filter,minus 80,QBTK,27.434,34873.56,-0.21,0,PB119,21.1
52345-055,SR_self-preserving_QBTK_1,1,2,10,SR,filter,self-preserving,QBTK,27.44,34740.19,-0.195,0,PB119,19
52345-128,SR_later_QBTK_1,1,1,10,SR,filter,later,QBTK,27.451,34493.46,0.081,0,PB119,12.2
52345-128,SR_later_QBTK_1,1,2,10,SR,filter,later,QBTK,27.505,33374.84,-0.002,0,PB119,12.2
52345-055,SR_self-preserving_QBTK_1,1,1,10,SR,filter,self-preserving,QBTK,27.544,32578.82,-0.032,0,PB119,19
52345-129,SR_later_QBTK_2,2,3,10,SR,filter,later,QBTK,27.558,32293.68,-0.299,0,PB119,10.8
52345-076,SR_shield_QBTK_1,1,3,10,SR,filter,shield,QBTK,27.589,31678.59,-0.248,0,PB119,12.4
52345-129,SR_later_QBTK_2,2,2,10,SR,filter,later,QBTK,27.609,31295.65,-0.174,0,PB119,10.8
52345-055,SR_self-preserving_QBTK_1,1,3,10,SR,filter,self-preserving,QBTK,27.615,31173.46,-0.283,0,PB119,19
52345-076,SR_shield_QBTK_1,1,1,10,SR,filter,shield,QBTK,27.627,30943.55,-0.218,0,PB119,12.4
52345-076,SR_shield_QBTK_1,1,2,10,SR,filter,shield,QBTK,27.641,30675.36,-0.365,0,PB119,12.4
52345-129,SR_later_QBTK_2,2,1,10,SR,filter,later,QBTK,27.67,30134.60,0.003,0,PB119,10.8
52345-078,SR_shield_QBTK_3,3,2,10,SR,filter,shield,QBTK,27.927,25703.29,-0.118,0,PB119,10.1
52345-078,SR_shield_QBTK_3,3,3,10,SR,filter,shield,QBTK,27.933,25600.85,-0.104,0,PB119,10.1
52345-078,SR_shield_QBTK_3,3,1,10,SR,filter,shield,QBTK,27.97,25017.67,-0.304,0,PB119,10.1
