experiment,sample,tech_rep,DNA_total_conc,Tt_total_conc,ratio_tt_total,extraction,preservation,homogenized,vol_filtered,filter_size
p_e,52345-130,3,6.13,159265,2.295162526876452e-4,QBTK,later,0,3,5
p_e,52345-056,2,13.9,144321.7,9.172134377303812e-5,QBTK,self-preserving,0,3,5
p_e,52345-056,1,13.9,142973.9,9.086477108066197e-5,QBTK,self-preserving,0,3,5
p_e,52345-056,3,13.9,122612.90000000001,7.792466380252688e-5,QBTK,self-preserving,0,3,5
p_e,52345-067,1,35.2,497717.69999999995,1.2490907585126885e-4,PCI,longmires,0,3,5
p_e,52345-063,1,29.6,450021,1.343057611498424e-4,PCI,minus 80,0,3,5
p_e,52345-068,1,34.4,441439.10000000003,1.1336158990056702e-4,PCI,longmires,0,3,5
p_e,52345-067,3,35.2,414041.3,1.0390933685351749e-4,PCI,longmires,0,3,5
p_e,52345-063,3,29.6,395701.1,1.1809434987107246e-4,PCI,minus 80,0,3,5
p_e,52345-067,2,35.2,391093.1,9.81501716591712e-5,PCI,longmires,0,3,5
p_e,52345-063,2,29.6,388744.80000000005,1.1601828860662783e-4,PCI,minus 80,0,3,5
p_e,52345-068,2,34.4,374763.39999999997,9.623926575725205e-5,PCI,longmires,0,3,5
p_e,52345-062,1,31.2,361710.4,1.0241415239648458e-4,PCI,minus 80,0,3,5
p_e,52345-061,1,32,349877.39999999997,9.6587179770318e-5,PCI,minus 80,0,3,5
p_e,52345-068,3,34.4,348002.39999999997,8.936703919796204e-5,PCI,longmires,0,3,5
p_e,52345-061,2,32,340532.5,9.400742601590106e-5,PCI,minus 80,0,3,5
p_e,52345-062,2,31.2,337860.6,9.56613549877684e-5,PCI,minus 80,0,3,5
p_e,52345-062,3,31.2,326486.2,9.244082404638942e-5,PCI,minus 80,0,3,5
p_e,52345-061,3,32,311580,8.601479681978799e-5,PCI,minus 80,0,3,5
p_e,52345-073,2,28.8,284393.4,8.723295789163722e-5,PCI,shield,0,3,5
p_e,52345-075,2,26,271520.60000000003,9.225353356890461e-5,PCI,shield,0,3,5
p_e,52345-073,1,28.8,268094,8.223338731841382e-5,PCI,shield,0,3,5
p_e,52345-075,1,26,263718.8,8.960274531122588e-5,PCI,shield,0,3,5
p_e,52345-074,1,29.9,260185.7,7.687158017892385e-5,PCI,shield,0,3,5
p_e,52345-074,2,29.9,254929.19999999998,7.531855300944255e-5,PCI,shield,0,3,5
p_e,52345-073,3,28.8,248327.2,7.617024931291715e-5,PCI,shield,0,3,5
p_e,52345-074,3,29.9,229927.59999999998,6.793185766453549e-5,PCI,shield,0,3,5
p_e,52345-075,3,26,215579.1,7.324650040771949e-5,PCI,shield,0,3,5
p_e,52345-052,3,30.8,191415.80000000002,5.4901048598045064e-5,PCI,self-preserving,0,3,5
p_e,52345-052,1,30.8,188499.7,5.4064665458216705e-5,PCI,self-preserving,0,3,5
p_e,52345-069,2,33.9,186880.80000000002,4.8698833609556275e-5,PCI,longmires,0,3,5
p_e,52345-052,2,30.8,183779.3,5.27107808269469e-5,PCI,self-preserving,0,3,5
p_e,52345-069,3,33.9,177459.59999999998,4.624378498389568e-5,PCI,longmires,0,3,5
p_e,52345-069,1,33.9,176841.6,4.6082741799305796e-5,PCI,longmires,0,3,5
p_e,52345-053,1,24.8,165116.8,5.881568448649264e-5,PCI,self-preserving,0,3,5
p_e,52345-053,3,24.8,163369.59999999998,5.819332041490937e-5,PCI,self-preserving,0,3,5
p_e,52345-053,2,24.8,162180.6,5.7769790835518066e-5,PCI,self-preserving,0,3,5
p_e,52345-054,1,23.8,112097.70000000001,4.160766249962883e-5,PCI,self-preserving,0,3,5
p_e,52345-054,2,23.8,92524.5,3.4342615137927965e-5,PCI,self-preserving,0,3,5
p_e,52345-054,3,23.8,91895.9,3.4109295661727585e-5,PCI,self-preserving,0,3,5
p_e,52345-127,2,0.124,695,4.951270944944716e-5,PCI,later,0,3,5
p_e,52345-127,1,0.124,690.8,4.9213495953493664e-5,PCI,later,0,3,5
p_e,52345-125,3,0.083,665.3,7.080974072970326e-5,PCI,later,0,3,5
p_e,52345-125,2,0.083,659.9,7.023500361871513e-5,PCI,later,0,3,5
p_e,52345-125,1,0.083,617.5,6.572225296947507e-5,PCI,later,0,3,5
p_e,52345-127,3,0.124,523.2,3.727345263877807e-5,PCI,later,0,3,5
p_e,52345-126,1,0.061,345.09999999999997,4.997682905636332e-5,PCI,later,0,3,5
p_e,52345-126,2,0.061,336.59999999999997,4.874587267566471e-5,PCI,later,0,3,5
p_e,52345-126,3,0.061,229.3,3.320685859931646e-5,PCI,later,0,3,5
